row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.00185563659761101,0.0014806751860305667,0.0023363290820270777,0.002239041030406952,2.756332378339721e-06,5.237877758190734e-06,8.884819180821069e-06,3.75742183678085e-06,0.0016354124527424574,0.002606018213555217,0.002795144449919462,0.0022727898322045803,0.0036477590911090374,0.0014193648239597678,0.004678861703723669,0.004046672955155373,0.002128764521330595,0.004393286537379026,0.003322178265079856,0.002698254305869341,0.0025633873883634806,0.0032483208924531937,0.004247325472533703,0.004474998451769352,0.005413768347352743,0.007575622759759426,0.0028242941480129957,0.0015777712687849998,1.5973744666553102e-05,3.5629641388368327e-06,6.369111815729411e-06,6.203178145369748e-06
K,0.003103884868323803,0.00443282350897789,0.002518534427508712,0.007317090407013893,1.693946796876844e-05,3.285653656348586e-05,6.406972715922166e-06,3.541547630447894e-05,0.0023444746620953083,0.0021569980308413506,0.0011142273433506489,0.002397475764155388,0.005122100468724966,0.00252212630584836,0.0021367345470935106,0.0014500156976282597,0.002456269459798932,0.0023132984060794115,0.004411121364682913,0.0019318492850288749,0.003992489073425531,0.0035696153063327074,0.0023189138155430555,0.0038115615025162697,0.00623831944540143,0.003991795238107443,0.003916321322321892,0.006203914061188698,9.640302778279874e-06,2.4303617465193383e-06,1.98879606614355e-05,1.9554883692762814e-05
V,0.0180458165705204,0.02029402181506157,0.030386772006750107,0.04068081080913544,0.029076026752591133,0.0434863306581974,0.030925916507840157,0.01542290672659874,0.01411349419504404,0.040008630603551865,0.055453915148973465,0.028404440730810165,0.04090491682291031,0.09051357954740524,0.0638934075832367,0.11988810449838638,0.041606802493333817,0.06998366862535477,0.02748809941112995,0.034548331052064896,0.02916913852095604,0.012909358367323875,0.06271100044250488,0.03347276896238327,0.017906270921230316,0.03826513513922691,0.01008252426981926,0.008892144076526165,0.048214588314294815,0.06835845112800598,0.06051075458526611,0.11220122873783112
