row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,1.4768071196158417e-05,1.2004717063973658e-05,2.038179081864655e-05,2.3917368707770947e-06,0.0054880958050489426,0.007352674845606089,0.00657673180103302,0.005093126557767391,0.0007776517886668444,0.0017351259011775255,0.0019457231974229217,0.0011047162115573883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,2.5471731532888953e-06,2.9615970561280847e-05,2.572541416157037e-05,2.2699568944517523e-06,0.00879500899463892,0.004953939002007246,0.004281875677406788,0.0038501520175486803,0.0018919410649687052,0.0016562979435548186,0.0009838027181103826,0.0014688491355627775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.018724342808127403,0.029889235273003578,0.013098870404064655,0.029598336666822433,0.03286968171596527,0.0524628683924675,0.04372509941458702,0.017787832766771317,0.04162278026342392,0.0404418408870697,0.03755444660782814,0.036389004439115524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
