row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,4.754821020469535e-06,3.7576405702566262e-06,4.272494152246509e-06,8.946713933255523e-06,0.00251946272328496,0.0063520632684230804,0.0025092505384236574,0.004937336780130863,0.01749504916369915,0.006560905370861292,0.013955295085906982,0.007352459244430065,0.0,0.0,0.0,0.0,1.352769322693348e-05,4.658075795305194e-06,3.0829582101432607e-05,7.082989668560913e-06,0.005380474962294102,0.011160189285874367,0.004351702053099871,0.0035702474415302277,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,1.0688212569220923e-05,5.890657575946534e-06,4.134801201871596e-06,2.19325847865548e-05,0.003819843288511038,0.003979532513767481,0.002033712575212121,0.004105547443032265,0.007296060211956501,0.008796663023531437,0.0037602216470986605,0.0028626590501517057,0.0,0.0,0.0,0.0,6.771625339752063e-05,1.9534089005901478e-05,0.00011639868898782879,4.974709008820355e-05,0.005429650656878948,0.008950628340244293,0.007880660705268383,0.005935859400779009,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.06374296545982361,0.023960040882229805,0.015883248299360275,0.026555413380265236,0.03724022954702377,0.05990373343229294,0.009567211382091045,0.032433971762657166,0.052064962685108185,0.08369219303131104,0.02277209237217903,0.115509532392025,0.0,0.0,0.0,0.0,0.01423027366399765,0.01831265538930893,0.0663047805428505,0.013376129791140556,0.09693298488855362,0.04782908037304878,0.07761093974113464,0.08812644332647324,0.0,0.0,0.0,0.0
