row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.013140713796019554,0.008142922073602676,0.0077887605875730515,0.02398344688117504,2.0225443222443573e-05,2.2170297597767785e-05,0.0,3.401199137442745e-05,0.011709400452673435,0.04417175054550171,0.004067785572260618,0.028606273233890533,0.0,0.0,0.0,0.0,0.0022408480290323496,0.00235121906735003,0.004446951672434807,0.0009513177210465074,0.0029884926043450832,0.004552382510155439,0.012298301793634892,0.0200306698679924,0.00771416025236249,0.017990730702877045,0.0034647113643586636,0.0033202313352376223,2.3276254069060087e-05,0.0,3.277066571172327e-05,2.9643886591657065e-05
K,0.029841987416148186,0.012716036289930344,0.006922261789441109,0.02245970256626606,2.208001387771219e-05,1.9390428860788234e-05,0.0,4.495823668548837e-05,0.013731912709772587,0.007989794947206974,0.01161651685833931,0.029578054323792458,0.0,0.0,0.0,0.0,0.001736894715577364,0.001990266377106309,0.0023248670622706413,0.002393086440861225,0.006037503480911255,0.010219370946288109,0.007033811416476965,0.009823891334235668,0.007197168190032244,0.0068751368671655655,0.004678747151046991,0.005037741735577583,1.617426096345298e-05,0.0,2.0865456463070586e-05,1.6595187844359316e-05
V,0.09412486106157303,0.05921657383441925,0.0495770089328289,0.13135546445846558,0.07276193797588348,0.14149489998817444,0.04203573986887932,0.0,0.09564375132322311,0.18464399874210358,0.15670260787010193,0.089631088078022,0.0,0.0,0.0,0.0,0.058402612805366516,0.041630521416664124,0.04087086021900177,0.05290019512176514,0.18618720769882202,0.2299109399318695,0.13660436868667603,0.1258343905210495,0.0,0.04737217724323273,0.037767644971609116,0.030877452343702316,0.12113627791404724,0.2358935922384262,0.06708458065986633,0.2718585729598999
