row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07869728654623032,0.18713025748729706,0.03169131651520729,0.031181322410702705,0.00021481342264451087,9.951325046131387e-05,0.0003009919309988618,0.00027243743534199893
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06997755169868469,0.0679909884929657,0.04514505714178085,0.05167562887072563,0.00014947430463507771,1.8068896679324098e-05,0.00019071945280302316,0.0001491738948971033
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13169482350349426,0.49496811628341675,0.3758194148540497,0.31510382890701294,1.3112568855285645,2.5831139087677,0.6863842010498047,2.973059892654419
