row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.010025981813669205,0.007896332070231438,0.008609933778643608,0.018440086394548416,2.288249925186392e-05,2.1743893739767373e-05,8.700650141690858e-06,3.835903407889418e-05,0.007317093666642904,0.03504422307014465,0.0031182249076664448,0.024028286337852478,0.0,0.0,0.0,0.0,0.0030653204303234816,0.003396266605705023,0.00678648566827178,0.0013465180527418852,0.0017493953928351402,0.0019715267699211836,0.012651607394218445,0.019409889355301857,0.006251059472560883,0.009354101493954659,0.002371362876147032,0.002819760236889124,2.71573899226496e-05,1.463686021452304e-05,4.218171670800075e-05,3.763753193197772e-05
K,0.019562922418117523,0.009443193674087524,0.006506876554340124,0.015505596995353699,2.6629935746314004e-05,2.631439929245971e-05,1.534146213089116e-05,5.635317575070076e-05,0.007620516233146191,0.0038654697127640247,0.007391019258648157,0.02536870911717415,0.0,0.0,0.0,0.0,0.0023321553599089384,0.0009553646668791771,0.001697553088888526,0.002672194503247738,0.011285479180514812,0.01189508568495512,0.006321807391941547,0.00886597204953432,0.006480309180915356,0.006185703910887241,0.0044849710538983345,0.00556004885584116,2.0249786757631227e-05,2.1880841813981533e-06,2.5967363399104215e-05,2.1762225514976308e-05
V,0.09938868880271912,0.0656706765294075,0.05022493749856949,0.13790234923362732,0.08309708535671234,0.1398082673549652,0.05236227065324783,0.032870952039957047,0.09358728677034378,0.1540534347295761,0.132271409034729,0.06507747620344162,0.0,0.0,0.0,0.0,0.06355337798595428,0.04731527343392372,0.044552452862262726,0.057836420834064484,0.20235049724578857,0.2276587188243866,0.1326647698879242,0.13021312654018402,0.016781920567154884,0.049473732709884644,0.04056108742952347,0.028904717415571213,0.1111602932214737,0.24254903197288513,0.08469538390636444,0.2830216884613037
