row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0021201258059591055,0.002363559789955616,0.0025048130191862583,0.0023150676861405373,0.0004900212516076863,0.001092766411602497,0.0005442752153612673,0.0008962143328972161,0.00893375463783741,0.0014548866311088204,0.008802751079201698,0.008308623917400837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0026716087013483047,0.00032140297116711736,0.0016434781718999147,0.00149624259211123,0.0019900521729141474,0.002417642856016755,0.0010435052681714296,0.0011245462810620666,0.002783046569675207,0.008754354901611805,0.003082799958065152,0.007598412688821554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.03810117393732071,0.026188302785158157,0.013922231271862984,0.015184377320110798,0.0211653895676136,0.038195692002773285,0.016384243965148926,0.007518455386161804,0.05324990674853325,0.10456860065460205,0.04365896061062813,0.03654837608337402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
