row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.008960540406405926,0.026978444308042526,0.020271603018045425,0.03115834854543209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06203190237283707,0.014330452308058739,0.04916875436902046,0.03461353853344917,0.008346660993993282,0.0491761639714241,0.06265362352132797,0.010269830003380775,0.014707501046359539,0.020215531811118126,0.010577399283647537,0.008821284398436546,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.04632442444562912,0.008484799414873123,0.029288742691278458,0.008649536408483982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999025538563728,0.07063668966293335,0.010968911461532116,0.00844119768589735,0.04919226095080376,0.02392088994383812,0.016995009034872055,0.009611668065190315,0.02802790142595768,0.017354197800159454,0.04665438085794449,0.04317018762230873,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.13727764785289764,0.23702912032604218,0.18917548656463623,0.38765957951545715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24142178893089294,0.39621204137802124,0.22373013198375702,0.1369728296995163,0.08144725859165192,0.2679031491279602,0.36067602038383484,0.13075639307498932,0.5447529554367065,0.7990459203720093,1.0008726119995117,0.6450256109237671,0.0,0.0,0.0,0.0
