row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002923781517893076,0.016686879098415375,0.003023116383701563,0.0062967510893940926,0.01189722865819931,0.007268366403877735,0.00957576371729374,0.012823265977203846,0.0,0.0,0.0,0.0,0.0035431175492703915,0.00961875356733799,0.007435989566147327,0.003080216934904456,1.4293041203927714e-05,6.278626187850023e-06,9.302246326114982e-06,2.061752411464113e-06,8.487465493089985e-06,2.7941523512708955e-06,6.121453679952538e-06,5.759782652603462e-06
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008559821173548698,0.0034037940204143524,0.002055451273918152,0.008470146916806698,0.004997235722839832,0.006851638201624155,0.00822387170046568,0.015730543062090874,0.0,0.0,0.0,0.0,0.01911904849112034,0.01000734232366085,0.00959822814911604,0.0057311709970235825,1.725443871691823e-05,1.671021709626075e-05,1.2953202713106293e-05,3.403657274247962e-06,5.007173058402259e-06,1.4893840898366761e-06,1.2074933692929335e-05,1.2935505765199196e-05
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04183477908372879,0.026940276846289635,0.06336655467748642,0.04661573842167854,0.04919646680355072,0.09494655579328537,0.06927822530269623,0.05393468216061592,0.0,0.0,0.0,0.0,0.08460759371519089,0.05863916873931885,0.03745509684085846,0.05890672653913498,0.030125513672828674,0.05899270623922348,0.06823861598968506,0.028955113142728806,0.04188845306634903,0.033337730914354324,0.05810947343707085,0.10544177144765854
