row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0012692756718024611,0.003479662584140897,0.0028417259454727173,0.001948623452335596,0.0,0.0,0.0,0.0,0.00647067092359066,0.0013782535679638386,0.006465929094702005,0.007513523567467928,0.0,0.0,0.0,0.0,0.0003963061317335814,1.045022963808151e-05,0.0008770073764026165,0.0002467132289893925,0.0,0.0,0.0,0.0,0.002320718253031373,0.0023233171086758375,0.0036555093247443438,0.005451412405818701
K,0.0,0.0,0.0,0.0,0.004137643147259951,0.00035840299096889794,0.002191961742937565,0.0013140853261575103,0.0,0.0,0.0,0.0,0.0033048547338694334,0.008123896084725857,0.003499591490253806,0.006928478833287954,0.0,0.0,0.0,0.0,0.00035621385904960334,3.4037995646940544e-05,0.0007449504337273538,0.0002880839165300131,0.0,0.0,0.0,0.0,0.0027073698583990335,0.0006020448054187,0.002371071372181177,0.004371582996100187
V,0.0,0.0,0.0,0.0,0.05668068304657936,0.034795474261045456,0.036836251616477966,0.03164735063910484,0.0,0.0,0.0,0.0,0.04388238117098808,0.05372137948870659,0.017634401097893715,0.020284363999962807,0.0,0.0,0.0,0.0,0.019466815516352654,0.02239145152270794,0.02151050604879856,0.014460035599768162,0.0,0.0,0.0,0.0,0.016466772183775902,0.02368849702179432,0.016322007402777672,0.03405425697565079
