row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.00011580158025026321,0.00020325835794210434,7.896213355707005e-05,2.557645166234579e-05,0.018214574083685875,0.02593868225812912,0.023851851001381874,0.017708973959088326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048562243580818176,0.011918286792933941,0.0400298647582531,0.026680001989006996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034970805048942566,0.015205332078039646,0.03339071944355965,0.00832698866724968
K,5.122746733832173e-05,0.0001634271611692384,0.00023670640075579286,5.2878476708428934e-05,0.0223655104637146,0.0013837091391906142,0.01540231704711914,0.013776685111224651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04032743349671364,0.053984034806489944,0.00890464335680008,0.006394974887371063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01692678965628147,0.06700430810451508,0.02938196063041687,0.01207338273525238
V,0.18549947440624237,0.14456546306610107,0.22011138498783112,0.2739613354206085,0.18737323582172394,0.13860593736171722,0.055956702679395676,0.06283995509147644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16074727475643158,0.2765008509159088,0.14321886003017426,0.11376151442527771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09559717774391174,0.11346656829118729,0.17422465980052948,0.25088152289390564
