row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0013495335588231683,0.001704839407466352,0.0007972861640155315,0.0014410758158192039,0.0033161465544253588,0.011318113654851913,0.0013455062871798873,0.0069621955044567585,1.3659173419000581e-05,1.561139833938796e-05,7.55317330458638e-07,3.0879684345563874e-05,0.0,0.0,0.0,0.0,0.00027629625401459634,0.00038704354665242136,0.0007144577684812248,0.0011688420781865716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0023293925914913416,0.0002026613656198606,0.0009600495104677975,0.0004730320943053812,0.0036619410384446383,0.002468736609444022,0.0024073077365756035,0.006199329625815153,1.166060974355787e-05,1.2529576451925095e-05,4.238821418312e-07,1.2631815479835495e-05,0.0,0.0,0.0,0.0,0.0007799324230290949,0.0007289947825483978,0.00036413187626749277,0.0008533347863703966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.03853440657258034,0.02680796943604946,0.027310676872730255,0.02689552865922451,0.019865907728672028,0.036783017218112946,0.016269458457827568,0.01971028558909893,0.008158087730407715,0.025681937113404274,0.019072990864515305,0.0037203512620180845,0.0,0.0,0.0,0.0,0.008519266732037067,0.010704985819756985,0.015741152688860893,0.010716552846133709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
