row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022005944047123194,0.002150097629055381,0.0015124171040952206,0.0014293277636170387,0.010943113826215267,0.005868071690201759,0.006308349315077066,0.0034828796051442623,0.0,0.0,0.0,0.0,0.005219851620495319,0.0067158909514546394,0.0052423072047531605,0.005278681870549917,0.0026326689403504133,0.004034013487398624,0.0028426102362573147,0.0059476373717188835,0.004256912041455507,0.0038340806495398283,0.005854169372469187,0.003409170312806964
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012606487143784761,0.0024088299833238125,0.002045969245955348,0.0030472632497549057,0.009286525659263134,0.017015574499964714,0.0037954989820718765,0.009062273427844048,0.0,0.0,0.0,0.0,0.007451743818819523,0.0062659247778356075,0.011128276586532593,0.013547140173614025,0.001544069848023355,0.0027497108094394207,0.001517929369583726,0.003369726240634918,0.0056417034938931465,0.00425755837932229,0.006794190499931574,0.005400718189775944
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261379424482584,0.05586127191781998,0.045057255774736404,0.03235980495810509,0.06358753144741058,0.05655764415860176,0.03449151664972305,0.07566358149051666,0.0,0.0,0.0,0.0,0.07586530596017838,0.08794249594211578,0.036979369819164276,0.04154912009835243,0.029091503471136093,0.023313255980610847,0.01072368212044239,0.03500981256365776,0.05563340708613396,0.0606088750064373,0.11029656231403351,0.06772856414318085
