name,score
encoder.layers.0::head4,1.0
encoder.layers.0::head5,1.0
encoder.layers.0::head7,1.0
encoder.layers.1::head0,1.0
encoder.layers.1::head5,1.0
encoder.layers.1::head7,1.0
encoder.layers.2::head3,1.0
encoder.layers.2::head4,1.0
encoder.layers.2::head6,1.0
