row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666983583476394e-05,3.986341107520275e-05,8.286444790428504e-05,1.4361219655256718e-05,0.09899133443832397,0.06849964708089828,0.12655498087406158,0.07960618287324905
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.047837036428973e-05,0.0001963259419426322,8.271674596471712e-05,1.1691740837704856e-05,0.06876948475837708,0.1726476103067398,0.08844703435897827,0.05971389636397362
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3993748128414154,0.2849012613296509,0.7332086563110352,0.32653912901878357,0.2970954179763794,0.3294767141342163,0.3639538288116455,0.6624555587768555
