row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.02064969763159752,0.01279602013528347,0.012239481322467327,0.037688273936510086,3.1782834412297234e-05,3.483903856249526e-05,9.542512998450547e-06,5.3447409300133586e-05,0.00016216289077419788,1.238515142176766e-05,0.00012459380377549678,0.0002126516483258456,0.0,0.0,0.0,0.0,0.00352133228443563,0.0036947722546756268,0.006988064851611853,0.0014949279138818383,0.004212383180856705,0.007089102175086737,0.01827695593237877,0.031182345002889633,0.0,0.0,0.0,0.0,3.657697016024031e-05,1.7054953787010163e-05,5.149676144355908e-05,4.65832490590401e-05
K,0.046894557774066925,0.019982337951660156,0.010877841152250767,0.0352938137948513,3.469716102699749e-05,3.0470673664240167e-05,1.886028258013539e-05,7.064866076689214e-05,0.0002449485764373094,2.6610718123265542e-05,0.0002492629864718765,0.00035979371750727296,0.0,0.0,0.0,0.0,0.0027294051833450794,0.003127561416476965,0.003653360763564706,0.0037605634424835443,0.00873181875795126,0.016013253480196,0.009406477212905884,0.01481403224170208,0.0,0.0,0.0,0.0,2.5416700736968778e-05,3.077595010836376e-06,3.278857911936939e-05,2.6078154405695386e-05
V,0.1479104906320572,0.09305461496114731,0.07790672779083252,0.20641572773456573,0.11434018611907959,0.22234909236431122,0.06605615466833115,0.03992989659309387,0.05236923694610596,0.09579085558652878,0.09366048872470856,0.029100874438881874,0.0,0.0,0.0,0.0,0.09177554398775101,0.06541938334703445,0.06422562152147293,0.08312887698411942,0.06869515776634216,0.047922663390636444,0.10385698080062866,0.10026884078979492,0.0,0.0,0.0,0.0,0.19035696983337402,0.37068986892700195,0.1054186299443245,0.4272063076496124
