row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0012757324147969484,0.0014931373298168182,0.0004967737477272749,0.0009112729458138347,0.0,0.0,0.0,0.0,0.004148158710449934,0.0052163805812597275,0.0035941428504884243,0.008262247778475285,0.0,0.0,0.0,0.0,0.004718177951872349,0.002394250128418207,0.004590765573084354,0.005643951706588268,0.0,0.0,0.0,0.0,3.127635181954247e-06,5.729767963202903e-06,1.4135891888145125e-06,3.75819524833787e-07,0.0,0.0,0.0,0.0
K,0.0008732715505175292,0.001519127283245325,0.0017090158071368933,0.0017966310260817409,0.0,0.0,0.0,0.0,0.004374727141112089,0.004597196355462074,0.0029362915083765984,0.005431805271655321,0.0,0.0,0.0,0.0,0.004241408314555883,0.002750539919361472,0.0016714042285457253,0.004905202891677618,0.0,0.0,0.0,0.0,2.5168287720589433e-06,1.3950780157756526e-05,3.4475899610697525e-06,7.834676694074005e-07,0.0,0.0,0.0,0.0
V,0.014302254654467106,0.008392604067921638,0.020316053181886673,0.026021800935268402,0.0,0.0,0.0,0.0,0.01245455164462328,0.030758703127503395,0.01818113774061203,0.015950830653309822,0.0,0.0,0.0,0.0,0.03135909140110016,0.007357245776802301,0.012570158578455448,0.023365339264273643,0.0,0.0,0.0,0.0,0.015505342744290829,0.019478777423501015,0.022910477593541145,0.02643032744526863,0.0,0.0,0.0,0.0
