row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.005210670176893473,0.0033302814699709415,0.003715885104611516,0.0050255050882697105,0.0,0.0,0.0,0.0,2.0738476450787857e-05,2.2755716599931475e-06,1.4432966054300778e-05,1.6324114767485298e-05,0.002850382123142481,0.0011061031837016344,0.001648872741498053,0.0009278553770855069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.013476664200425148,0.014173505827784538,0.0032751797698438168,0.006247622426599264,0.0,0.0,0.0,0.0,5.050089748692699e-05,5.80169262320851e-06,3.530833782861009e-05,6.975456926738843e-05,0.0027968506328761578,0.0017740788171067834,0.0019768632482737303,0.0018467346671968699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.04432709515094757,0.0581725537776947,0.05128032714128494,0.05675544589757919,0.0,0.0,0.0,0.0,0.02581060864031315,0.049603596329689026,0.03162599727511406,0.012426311150193214,0.02102809026837349,0.02049066498875618,0.012169083580374718,0.017159249633550644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
