row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018763927510008216,0.0065592210739851,0.0043298909440636635,0.005910611245781183,0.0033968600910156965,0.001934646163135767,0.008381260558962822,0.003131587989628315,0.0,0.0,0.0,0.0,3.286356513854116e-05,6.5684639594110195e-06,3.9430327888112515e-05,1.1544917470018845e-05,0.0015529212541878223,0.0025329175405204296,0.0035624727606773376,0.0007277547847479582,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002364122774451971,0.004399667959660292,0.0018617174355313182,0.0035538224037736654,0.005199876613914967,0.005966675467789173,0.009010052308440208,0.0033648042008280754,0.0,0.0,0.0,0.0,5.937436435488053e-05,5.493766366271302e-06,0.00013089942513033748,4.970384179614484e-05,0.0036263945512473583,0.005077272653579712,0.0069902376271784306,0.0077265664003789425,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030475281178951263,0.042609766125679016,0.012701896950602531,0.015523029491305351,0.0347694456577301,0.03132185712456703,0.03856419026851654,0.010916424915194511,0.0,0.0,0.0,0.0,0.06695534288883209,0.028415735810995102,0.030167631804943085,0.03167521208524704,0.01987401582300663,0.01484053023159504,0.028210071846842766,0.026429308578372,0.0,0.0,0.0,0.0
