row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.009155504405498505,0.0038324298802763224,0.012254186905920506,0.005605360958725214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021160420030355453,0.020432036370038986,0.015279415994882584,0.008239684626460075,0.0033208271488547325,0.009179964661598206,0.005437497980892658,0.008553851395845413,0.0,0.0,0.0,0.0
K,0.013019666075706482,0.011282389983534813,0.010532314889132977,0.006040191277861595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01886018179357052,0.014962904155254364,0.0055615538731217384,0.026887722313404083,0.008618713356554508,0.01284068264067173,0.0037910263054072857,0.0064017027616500854,0.0,0.0,0.0,0.0
V,0.2054438591003418,0.10835491120815277,0.07507281005382538,0.1562165468931198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377890408039093,0.06584212183952332,0.2036890685558319,0.08207185566425323,0.010991157963871956,0.06743843853473663,0.034324903041124344,0.021529583260416985,0.0,0.0,0.0,0.0
