row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.01775209605693817,0.012210448272526264,0.013771901838481426,0.03783556818962097,4.0338331018574536e-05,4.0507416997570544e-05,1.2838656402891502e-05,6.768835737602785e-05,0.012590144760906696,0.060176167637109756,0.006090663839131594,0.03163905069231987,0.0,0.0,0.0,0.0,0.0056984699331223965,0.005286616738885641,0.01280289888381958,0.0017330459086224437,0.002762085758149624,0.003774298122152686,0.018249498680233955,0.028802474960684776,0.0,0.0,0.0,0.0,4.655819429899566e-05,2.397315256530419e-05,6.95852140779607e-05,6.229397695278749e-05
K,0.04351331666111946,0.014293842948973179,0.010468430817127228,0.01987646520137787,4.701490615843795e-05,4.315467595006339e-05,2.580878026492428e-05,9.888733620755374e-05,0.026849815621972084,0.026544738560914993,0.017539963126182556,0.047665294259786606,0.0,0.0,0.0,0.0,0.004137768410146236,0.0022923757787793875,0.0028581772930920124,0.004341604188084602,0.01375258807092905,0.014900854788720608,0.008310784585773945,0.011935262940824032,0.0,0.0,0.0,0.0,3.447137714829296e-05,3.970163561461959e-06,4.4355401769280434e-05,3.645111064543016e-05
V,0.13649536669254303,0.08282676339149475,0.07763390988111496,0.1708279252052307,0.10470288246870041,0.1577451527118683,0.07170907407999039,0.03431114926934242,0.14112581312656403,0.2895277440547943,0.22245216369628906,0.13138063251972198,0.0,0.0,0.0,0.0,0.08381853997707367,0.06468762457370758,0.049445170909166336,0.0789940282702446,0.05892845615744591,0.03594597056508064,0.08775459975004196,0.06511059403419495,0.0,0.0,0.0,0.0,0.10949315130710602,0.284426748752594,0.13034985959529877,0.35557806491851807
