row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.00017267517978325486,0.00025544813252054155,9.069351654034108e-05,2.955693162220996e-05,0.011960774660110474,0.03459741547703743,0.016561780124902725,0.0494525246322155,0.0,0.0,0.0,0.0,0.00021901543368585408,0.00027755077462643385,8.985587555798702e-06,0.000525066046975553,0.06452801823616028,0.015917599201202393,0.05336835980415344,0.03368445858359337,0.009524554014205933,0.05220918357372284,0.06850793957710266,0.012389522045850754,0.02130074054002762,0.023525306954979897,0.015383083373308182,0.009947000071406364,0.0,0.0,0.0,0.0
K,6.884706817800179e-05,0.00020885940466541797,0.0003126703086309135,6.714070332236588e-05,0.0695919468998909,0.009503589943051338,0.04788042977452278,0.013400365598499775,0.0,0.0,0.0,0.0,0.0002762106014415622,0.000283150642644614,1.5724090189905837e-05,0.00015065641491673887,0.05435064062476158,0.06565824151039124,0.018214695155620575,0.008629807271063328,0.05414213612675667,0.02551489695906639,0.015157315880060196,0.010136133059859276,0.03961004689335823,0.02128865197300911,0.07151027768850327,0.03679294139146805,0.0,0.0,0.0,0.0
V,0.1871783286333084,0.1448642611503601,0.21268895268440247,0.3229895830154419,0.13393612205982208,0.25693178176879883,0.22059139609336853,0.3732163608074188,0.0,0.0,0.0,0.0,0.14213763177394867,0.6221671104431152,0.4044487178325653,0.6402567625045776,0.2644978165626526,0.3960992395877838,0.21450203657150269,0.13987408578395844,0.10299231857061386,0.20853759348392487,0.32598334550857544,0.10560403019189835,0.08936236053705215,0.43325674533843994,0.2251867949962616,0.24270108342170715,0.0,0.0,0.0,0.0
