row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,2.1034189558122307e-05,6.351034244289622e-05,2.7835130822495557e-05,5.962132490822114e-06,0.0,0.0,0.0,0.0,0.01223634835332632,0.009118527173995972,0.01068355143070221,0.012372867204248905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014184233732521534,0.01030186377465725,0.018823793157935143,0.016145193949341774
K,1.712021548883058e-05,1.0478917829459533e-05,5.962203795206733e-05,9.255295481125358e-06,0.0,0.0,0.0,0.0,0.007900236174464226,0.004402540624141693,0.010636175982654095,0.012562247924506664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004934628959745169,0.032746534794569016,0.019310664385557175,0.015410121530294418
V,0.1754346340894699,0.23915278911590576,0.1457393318414688,0.18973203003406525,0.0,0.0,0.0,0.0,0.11127045750617981,0.11420748382806778,0.1626480668783188,0.14808742702007294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039894621819257736,0.11288142949342728,0.2510004937648773,0.063270702958107
