row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.009919065050780773,0.0138908252120018,0.009856057353317738,0.009896171279251575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049879271537065506,0.015450452454388142,0.04114712402224541,0.03449190780520439,0.000775923952460289,0.00014611065853387117,0.0016939756460487843,0.0004714138340204954,0.04177345335483551,0.0804002434015274,0.024351611733436584,0.02179584838449955,7.160448876675218e-05,3.317108712508343e-05,0.0001003306606435217,9.081248572329059e-05
K,0.014488130807876587,0.019515587016940117,0.013824996538460255,0.02090153656899929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03892264887690544,0.0708116739988327,0.016076302155852318,0.011721489019691944,0.0014645698247477412,7.921433279989287e-05,0.0032144479919224977,0.0012121690670028329,0.05226954445242882,0.03781140595674515,0.10218509286642075,0.052358467131853104,4.982477912562899e-05,6.022965408192249e-06,6.357315578497946e-05,4.972462556906976e-05
V,0.1486067920923233,0.10275927931070328,0.09240929037332535,0.20311112701892853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19224099814891815,0.33193469047546387,0.18769581615924835,0.0988054946064949,0.5098571181297302,0.7123979926109314,0.2365080565214157,0.21694576740264893,0.09192213416099548,0.6534660458564758,0.32560572028160095,0.3347351849079132,0.4370855987071991,0.8610379695892334,0.22879469394683838,0.9910200238227844
