row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.001349534490145743,0.00170483801048249,0.0007972852909006178,0.0014410760486498475,0.003316147020086646,0.011318113654851913,0.0013455062871798873,0.006962196435779333,1.3659173419000581e-05,1.561139833938796e-05,7.55317330458638e-07,3.087968798354268e-05,0.0,0.0,0.0,0.0,0.00027629610849544406,0.00038704334292560816,0.0007144571281969547,0.0011688409140333533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0023293925914913416,0.00020266114734113216,0.0009600496850907803,0.00047303162864409387,0.0036619415041059256,0.002468736609444022,0.002407307969406247,0.006199331488460302,1.166060974355787e-05,1.2529574632935692e-05,4.2388219867461885e-07,1.2631816389330197e-05,0.0,0.0,0.0,0.0,0.0007799319573678076,0.0007289943750947714,0.00036413175985217094,0.0008533343207091093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.03853440657258034,0.026807958260178566,0.02731066755950451,0.02689552493393421,0.01986590400338173,0.03678301349282265,0.01626945473253727,0.019710281863808632,0.008158092387020588,0.025681927800178528,0.01907297968864441,0.0037203405518084764,0.0,0.0,0.0,0.0,0.008519263006746769,0.010704985819756985,0.015741154551506042,0.010716552846133709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
