row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011801176704466343,0.012791876681149006,0.0027659505140036345,0.006896129343658686,0.017270227894186974,0.012000668793916702,0.020284900441765785,0.012084782123565674,0.006482657510787249,0.006570621859282255,0.005436032544821501,0.005718542262911797,0.0,0.0,0.0,0.0,5.027152383263456e-06,1.6529125787201338e-05,1.1766944226110354e-05,4.900435328636377e-07,0.004118692595511675,0.0037212278693914413,0.0035334015265107155,0.0028966034296900034
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004584108013659716,0.003122941358014941,0.005314291920512915,0.010134946554899216,0.01204073429107666,0.004155841190367937,0.008805547840893269,0.009574624709784985,0.008414252661168575,0.015348429791629314,0.010527652688324451,0.007053979206830263,0.0,0.0,0.0,0.0,6.0703064264089335e-06,4.13524940086063e-05,1.2235967915330548e-05,5.881788069928007e-07,0.00203737267293036,0.007021517958492041,0.005036151967942715,0.003276642644777894
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03715246543288231,0.025142481550574303,0.0678301528096199,0.052865076810121536,0.09528806060552597,0.16495831310749054,0.12201368808746338,0.07393304258584976,0.09958386421203613,0.08501112461090088,0.07679365575313568,0.052509937435388565,0.0,0.0,0.0,0.0,0.047420695424079895,0.06616965681314468,0.0934860035777092,0.046299148350954056,0.05477866530418396,0.0317063145339489,0.02356705814599991,0.01935344561934471
