row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.01714165322482586,0.0007525556138716638,0.007115386426448822,0.0022538723424077034,0.0043293084017932415,0.017632730305194855,0.0028039992321282625,0.010652917437255383,0.008136712945997715,0.0036702530924230814,0.001999926520511508,0.0037115581799298525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5836852981010452e-05,1.923759737110231e-05,7.838860256015323e-06,2.2899139366927557e-06,0.033561769872903824,0.015357953496277332,0.014503341168165207,0.009957769885659218
K,0.006441483739763498,0.009785429574549198,0.004775645677000284,0.004246457014232874,0.009639963507652283,0.0057680350728333,0.010886654257774353,0.006928253918886185,0.001958080567419529,0.012826801277697086,0.0026702273171395063,0.006503747310489416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.930190920684254e-06,3.365357406437397e-05,1.046735360432649e-05,5.561083071370376e-06,0.0063789826817810535,0.010858173482120037,0.010731406509876251,0.009385782293975353
V,0.02185399830341339,0.13392703235149384,0.05782223120331764,0.1599782556295395,0.2390829473733902,0.10991278290748596,0.2291376143693924,0.19671744108200073,0.029047228395938873,0.11030453443527222,0.1252318024635315,0.10908452421426773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17558611929416656,0.05577179417014122,0.056113023310899734,0.06054770573973656,0.23858122527599335,0.25956210494041443,0.21920853853225708,0.03824358806014061
