row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011668930761516094,0.004344477318227291,0.010287009179592133,0.009570509195327759,0.012095429003238678,0.011322053149342537,0.03185350075364113,0.02659071981906891,0.0,0.0,0.0,0.0,0.005570395849645138,0.011030854657292366,0.016509220004081726,0.01116944756358862
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009302256628870964,0.012348294258117676,0.0067624254152178764,0.006226056721061468,0.03802569955587387,0.03468089550733566,0.016879867762327194,0.0285169817507267,0.0,0.0,0.0,0.0,0.003440926317125559,0.013776583597064018,0.006792556494474411,0.00628436217084527
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640826404094696,0.2331344336271286,0.16790823638439178,0.2685144543647766,0.13327284157276154,0.2262440025806427,0.043117668479681015,0.100385382771492,0.0,0.0,0.0,0.0,0.16279013454914093,0.11345138400793076,0.16012480854988098,0.30205559730529785
